position,archetype,equation,r2,n
DT,Speed Rusher - DT,OVR = -56.8 +0.33×Strength +0.31×Block Shed +0.25×Tackle +0.22×Play Rec +0.15×Pursuit +0.10×Accel +0.07×Hit Power +0.06×Awareness +0.05×Finesse Moves +0.05×Speed +0.03×Agility +0.02×Impact Block +0.02×COD +0.02×TH Under Press,0.9963,79
MLB,Field General - MLB,OVR = -74.9 +0.36×Tackle +0.26×Pursuit +0.21×Play Rec +0.18×Accel +0.18×Strength +0.15×Block Shed +0.15×Awareness +0.12×Zone Coverage +0.07×Speed +0.07×Agility +0.07×COD +0.06×Man Coverage +0.03×Impact Block +0.01×Jumping,0.9994,83
MLB,Pass Coverage - MLB,OVR = -75.1 +0.93×Pursuit +0.46×Zone Coverage +0.16×COD +0.10×Play Rec +0.09×Toughness +0.08×Hit Power +0.03×Agility +0.02×Accel,0.9986,13
OLB,Pass Coverage - OLB,OVR = -70.8 +0.36×Awareness +0.35×Zone Coverage +0.23×Tackle +0.20×Pursuit +0.17×Accel +0.15×Speed +0.13×Agility +0.08×Man Coverage +0.06×Block Shed +0.05×COD +0.05×Stamina +0.02×Play Rec +0.01×Strength,0.9997,32
OLB,Run Stopper - OLB,OVR = -70.5 +0.31×Tackle +0.29×Pursuit +0.29×Block Shed +0.16×Strength +0.16×Accel +0.15×Play Rec +0.14×Speed +0.11×Zone Coverage +0.10×Awareness +0.05×Hit Power +0.04×COD +0.03×Agility +0.02×Man Coverage +0.01×PBF,0.9986,86
CB,Manto Man - CB,OVR = -73.4 +0.37×Man Coverage +0.36×Speed +0.30×Accel +0.19×Awareness +0.12×Press +0.11×COD +0.11×Play Rec +0.06×Tackle +0.06×Agility +0.04×Zone Coverage +0.03×Jumping +0.02×Catching +0.02×RBF +0.02×Stamina +0.01×Pursuit,0.9985,128
CB,Zone - CB,OVR = -71.1 +0.34×Accel +0.34×Zone Coverage +0.31×Speed +0.20×Awareness +0.12×Play Rec +0.11×Man Coverage +0.10×Tackle +0.08×COD +0.07×Press +0.06×Agility +0.03×Catching +0.03×Jumping +0.02×Injury,0.9984,120
S,Hybrid - S,OVR = -67.1 +0.29×Awareness +0.24×Man Coverage +0.22×Accel +0.22×Speed +0.20×Tackle +0.13×Agility +0.12×Zone Coverage +0.09×Play Rec +0.08×Pursuit +0.06×Jumping +0.05×COD +0.05×Press +0.03×Strength,0.9985,70
S,Run Support - S,OVR = -67.1 +0.29×Tackle +0.27×Play Rec +0.16×Awareness +0.16×Accel +0.15×Speed +0.15×Pursuit +0.14×Zone Coverage +0.10×Man Coverage +0.10×Hit Power +0.08×Agility +0.06×COD +0.06×Jumping +0.04×Block Shed +0.02×PBP +0.02×Press +0.01×Power Moves,0.9997,52
S,Zone - S,OVR = -64.2 +0.37×Zone Coverage +0.36×Awareness +0.27×Speed +0.16×Tackle +0.15×Accel +0.12×Pursuit +0.09×Agility +0.05×COD +0.05×Jumping +0.04×Play Rec +0.04×Strength +0.04×Man Coverage,0.999,85
K/P,Accurate - KP,OVR = 18.7 +0.44×Kick Accuracy +0.29×Awareness +0.04×Kick Power,0.9429,9
K/P,Power - KP,OVR = -13.8 +0.44×Awareness +0.38×Kick Power +0.37×Power Moves +0.21×Kick Accuracy +0.12×Med Route +0.03×Lead Block +0.03×Agility +0.02×Play Rec +0.02×Strength +0.02×TH Power +0.02×Break Sack +0.01×Catching +0.01×TH Under Press,0.9935,61
LS,Accurate - LS,OVR = -86.2 +0.78×Injury +0.50×Awareness +0.21×Stamina +0.16×Pass Block +0.15×Tackle +0.14×Run Block +0.12×Accel +0.10×Speed +0.09×Spin Move +0.08×COD +0.06×Man Coverage +0.02×Lead Block,0.9683,24
LS,Power - LS,OVR = -3.0 +0.78×Pass Block +0.32×Strength +0.30×TH Power +0.15×Lead Block +0.13×Impact Block,1.0,9
