archetype,rank,stat,coefficient,abs_coefficient
Slot - WR,30,hit_power_rating,-0.048236,0.048236
Slot - WR,31,play_rec_rating,-0.047622,0.047622
Slot - WR,32,carry_rating,-0.034796,0.034796
Slot - WR,33,kick_power_rating,-0.032551,0.032551
Slot - WR,34,throw_under_pressure_rating,-0.024134,0.024134
Slot - WR,35,zone_cover_rating,-0.019521,0.019521
Slot - WR,36,injury_rating,0.014636,0.014636
Slot - WR,37,pursuit_rating,0.007714,0.007714
Smaller Speed Rusher - DE,1,finesse_moves_rating,2.377745,2.377745
Smaller Speed Rusher - DE,2,awareness_rating,2.058926,2.058926
Smaller Speed Rusher - DE,3,tackle_rating,1.165719,1.165719
Smaller Speed Rusher - DE,4,play_rec_rating,1.099343,1.099343
Smaller Speed Rusher - DE,5,agility_rating,0.656412,0.656412
Smaller Speed Rusher - DE,6,pursuit_rating,0.556266,0.556266
Smaller Speed Rusher - DE,7,accel_rating,0.503461,0.503461
Smaller Speed Rusher - DE,8,speed_rating,0.474688,0.474688
Smaller Speed Rusher - DE,9,strength_rating,0.438846,0.438846
Smaller Speed Rusher - DE,10,power_moves_rating,0.299162,0.299162
Smaller Speed Rusher - DE,11,hit_power_rating,0.212382,0.212382
Smaller Speed Rusher - DE,12,block_shed_rating,0.085732,0.085732
Smaller Speed Rusher - DE,13,jump_rating,0.069131,0.069131
Smaller Speed Rusher - DE,14,throw_under_pressure_rating,-0.03573,0.03573
Smaller Speed Rusher - DE,15,spec_catch_rating,-0.032703,0.032703
Smaller Speed Rusher - DE,16,kick_power_rating,0.022053,0.022053
Smaller Speed Rusher - DE,17,spin_move_rating,0.019264,0.019264
Smaller Speed Rusher - DE,18,cit_rating,-0.003216,0.003216
Speed Rusher - DT,1,play_rec_rating,2.010751,2.010751
Speed Rusher - DT,2,block_shed_rating,1.152745,1.152745
Speed Rusher - DT,3,strength_rating,1.129665,1.129665
Speed Rusher - DT,4,tackle_rating,1.014002,1.014002
Speed Rusher - DT,5,accel_rating,0.756009,0.756009
Speed Rusher - DT,6,pursuit_rating,0.550567,0.550567
Speed Rusher - DT,7,awareness_rating,0.536817,0.536817
Speed Rusher - DT,8,finesse_moves_rating,0.441805,0.441805
Speed Rusher - DT,9,speed_rating,0.295875,0.295875
Speed Rusher - DT,10,agility_rating,0.21466,0.21466
Speed Rusher - DT,11,hit_power_rating,0.17827,0.17827
Speed Rusher - DT,12,change_of_direction_rating,0.104941,0.104941
Speed Rusher - DT,13,break_tackle_rating,-0.101116,0.101116
Speed Rusher - DT,14,spin_move_rating,-0.089521,0.089521
Speed Rusher - DT,15,impact_block_rating,0.073133,0.073133
Speed Rusher - DT,16,pass_block_rating,-0.065807,0.065807
Speed Rusher - DT,17,kick_ret_rating,-0.051859,0.051859
Speed Rusher - DT,18,throw_under_pressure_rating,0.048694,0.048694
Speed Rusher - DT,19,lead_block_rating,0.0396,0.0396
Speed Rusher - DT,20,throw_power_rating,-0.027093,0.027093
Speed Rusher - DT,21,power_moves_rating,0.019084,0.019084
Speed Rusher - DT,22,route_run_short_rating,0.012232,0.012232
Speed Rusher - DT,23,injury_rating,-0.009956,0.009956
Speed Rusher - DT,24,man_cover_rating,0.003988,0.003988
Speed Rusher - DT,25,press_rating,-0.003171,0.003171
Speed Rusher - DT,26,juke_move_rating,-0.003008,0.003008
Strong Arm - QB,1,awareness_rating,1.670345,1.670345
Strong Arm - QB,2,throw_power_rating,1.580466,1.580466
Strong Arm - QB,3,break_sack_rating,1.046354,1.046354
Strong Arm - QB,4,throw_acc_mid_rating,0.953727,0.953727
Strong Arm - QB,5,bcv_rating,0.821473,0.821473
Strong Arm - QB,6,throw_on_run_rating,0.566183,0.566183
Strong Arm - QB,7,throw_acc_short_rating,0.460275,0.460275
Strong Arm - QB,8,throw_under_pressure_rating,0.33932,0.33932
Strong Arm - QB,9,speed_rating,0.319772,0.319772
Strong Arm - QB,10,change_of_direction_rating,0.281133,0.281133
Strong Arm - QB,11,throw_acc_deep_rating,0.259916,0.259916
Strong Arm - QB,12,spin_move_rating,-0.154026,0.154026
Strong Arm - QB,13,press_rating,-0.095448,0.095448
Strong Arm - QB,14,run_block_power_rating,-0.06538,0.06538
Strong Arm - QB,15,carry_rating,0.065267,0.065267
Strong Arm - QB,16,injury_rating,-0.053179,0.053179
Strong Arm - QB,17,truck_rating,0.052101,0.052101
Strong Arm - QB,18,route_run_deep_rating,0.038154,0.038154
Strong Arm - QB,19,lead_block_rating,0.035485,0.035485
Strong Arm - QB,20,play_rec_rating,-0.029411,0.029411
Strong Arm - QB,21,pass_block_finesse_rating,0.027856,0.027856
Strong Arm - QB,22,tough_rating,-0.01557,0.01557
Strong Arm - QB,23,juke_move_rating,0.003889,0.003889
Utility - FB,1,bcv_rating,3.990627,3.990627
Utility - FB,2,lead_block_rating,1.100873,1.100873
Utility - FB,3,stamina_rating,0.814467,0.814467
Utility - FB,4,spin_move_rating,0.34446,0.34446
Utility - FB,5,run_block_rating,0.328177,0.328177
Utility - FB,6,stiff_arm_rating,0.237396,0.237396
Utility - FB,7,truck_rating,0.193406,0.193406
Utility - FB,8,pass_block_finesse_rating,-0.021434,0.021434
Vertical Threat - TE,1,awareness_rating,2.377136,2.377136
Vertical Threat - TE,2,route_run_med_rating,1.618943,1.618943
Vertical Threat - TE,3,catch_rating,1.276286,1.276286
Vertical Threat - TE,4,cit_rating,0.790855,0.790855
Vertical Threat - TE,5,route_run_deep_rating,0.492255,0.492255
Vertical Threat - TE,6,route_run_short_rating,0.471284,0.471284
Vertical Threat - TE,7,release_rating,0.435848,0.435848
Vertical Threat - TE,8,speed_rating,0.432096,0.432096
Vertical Threat - TE,9,accel_rating,0.387052,0.387052
Vertical Threat - TE,10,agility_rating,0.348858,0.348858
Vertical Threat - TE,11,run_block_rating,0.332783,0.332783
Vertical Threat - TE,12,spec_catch_rating,0.288722,0.288722
Vertical Threat - TE,13,run_block_finesse_rating,0.256725,0.256725
Vertical Threat - TE,14,break_tackle_rating,0.253852,0.253852
Vertical Threat - TE,15,jump_rating,0.215716,0.215716
Vertical Threat - TE,16,bcv_rating,0.208823,0.208823
Vertical Threat - TE,17,pass_block_power_rating,0.206953,0.206953
Vertical Threat - TE,18,truck_rating,0.141837,0.141837
Vertical Threat - TE,19,stiff_arm_rating,0.141509,0.141509
Vertical Threat - TE,20,run_block_power_rating,0.133208,0.133208
Vertical Threat - TE,21,stamina_rating,0.113808,0.113808
Vertical Threat - TE,22,change_of_direction_rating,0.104659,0.104659
Vertical Threat - TE,23,tackle_rating,-0.085504,0.085504
Vertical Threat - TE,24,press_rating,0.081546,0.081546
Vertical Threat - TE,25,impact_block_rating,0.062398,0.062398
Vertical Threat - TE,26,spin_move_rating,0.059072,0.059072
Vertical Threat - TE,27,man_cover_rating,-0.057444,0.057444
Vertical Threat - TE,28,pass_block_finesse_rating,0.054821,0.054821
Vertical Threat - TE,29,finesse_moves_rating,0.040181,0.040181
Vertical Threat - TE,30,pass_block_rating,0.039464,0.039464
Vertical Threat - TE,31,juke_move_rating,0.037958,0.037958
Vertical Threat - TE,32,lead_block_rating,-0.022682,0.022682
Vertical Threat - TE,33,play_rec_rating,0.008955,0.008955
Vertical Threat - TE,34,injury_rating,-0.006774,0.006774
Vertical Threat - TE,35,kick_acc_rating,-0.000579,0.000579
Vertical Threat - TE,36,kick_ret_rating,-5.4e-05,5.4e-05
Zone - CB,1,zone_cover_rating,2.198439,2.198439
Zone - CB,2,awareness_rating,1.917151,1.917151
Zone - CB,3,play_rec_rating,1.175376,1.175376
Zone - CB,4,accel_rating,0.754385,0.754385
Zone - CB,5,tackle_rating,0.723738,0.723738
Zone - CB,6,man_cover_rating,0.704989,0.704989
Zone - CB,7,speed_rating,0.665783,0.665783
Zone - CB,8,press_rating,0.570285,0.570285
Zone - CB,9,change_of_direction_rating,0.356521,0.356521
Zone - CB,10,agility_rating,0.261652,0.261652
Zone - CB,11,catch_rating,0.206212,0.206212
Zone - CB,12,jump_rating,0.138374,0.138374
Zone - CB,13,break_tackle_rating,-0.057524,0.057524
Zone - CB,14,injury_rating,0.055737,0.055737
Zone - CB,15,finesse_moves_rating,0.048181,0.048181
Zone - CB,16,run_block_rating,-0.042424,0.042424
Zone - CB,17,juke_move_rating,0.036674,0.036674
Zone - CB,18,lead_block_rating,0.033311,0.033311
Zone - CB,19,strength_rating,-0.027175,0.027175
Zone - CB,20,break_sack_rating,0.016521,0.016521
Zone - CB,21,route_run_med_rating,0.016068,0.016068
Zone - CB,22,power_moves_rating,0.00943,0.00943
Zone - CB,23,pass_block_finesse_rating,0.002305,0.002305
Zone - CB,24,hit_power_rating,0.002014,0.002014
Zone - S,1,awareness_rating,3.519672,3.519672
Zone - S,2,zone_cover_rating,2.28668,2.28668
Zone - S,3,tackle_rating,0.899487,0.899487
Zone - S,4,pursuit_rating,0.554571,0.554571
Zone - S,5,speed_rating,0.550818,0.550818
Zone - S,6,play_rec_rating,0.43078,0.43078
Zone - S,7,agility_rating,0.373244,0.373244
Zone - S,8,accel_rating,0.334505,0.334505
Zone - S,9,jump_rating,0.235116,0.235116
Zone - S,10,man_cover_rating,0.208756,0.208756
Zone - S,11,change_of_direction_rating,0.195226,0.195226
Zone - S,12,strength_rating,0.16482,0.16482
Zone - S,13,spec_catch_rating,0.027289,0.027289
Zone - S,14,release_rating,0.018521,0.018521
Zone - S,15,stamina_rating,0.01676,0.01676
Zone - S,16,kick_acc_rating,0.013963,0.013963
Zone - S,17,lead_block_rating,0.00674,0.00674
Zone - S,18,throw_under_pressure_rating,0.005268,0.005268
Zone - S,19,throw_acc_deep_rating,0.000807,0.000807
